#,URL,Meta Title,Meta Description
1,/,JIVO Energy | Renewable Energy Solutions in Africa,"JIVO Energy delivers renewable energy infrastructure across Africa, including Solar PV, BESS, hybrid energy, transmission and sustainable energy solutions."
2,/about,About JIVO Energy | Renewable Energy Company Africa,"Learn about JIVO Energy, a renewable energy and infrastructure company delivering solar, BESS, hybrid power and sustainable energy solutions across Africa."
3,/business-areas,Renewable Energy Solutions & Services | JIVO Energy,"Explore JIVO Energy's renewable energy solutions, including Solar PV, BESS, hybrid energy, transmission, biogas, biomethane and waste-to-energy."
4,/capabilities,Renewable Energy Project Capabilities | JIVO Energy,"Explore JIVO Energy's capabilities across project origination, development, financing, engineering, procurement, construction and operations."
5,/projects/east-africa,East Africa Renewable Energy Projects | JIVO Energy,"Explore JIVO Energy's renewable energy projects across East Africa, including solar PV, hybrid systems, battery storage and sustainable power infrastructure."
6,/projects/west-africa,West Africa Renewable Energy Projects | JIVO Energy,"Explore JIVO Energy's renewable energy projects across West Africa, covering solar power, hybrid energy, battery storage and sustainable infrastructure."
7,/projects/southern-africa,Southern Africa Renewable Energy Projects | JIVO Energy,"Explore JIVO Energy's renewable energy projects across Southern Africa, including solar PV, BESS, hybrid energy and reliable power infrastructure."
8,/partners,JIVO Energy Partners | Renewable Energy Partnerships,"Discover JIVO Energy's network of clients, financing partners and technology providers supporting renewable energy projects across Africa and emerging markets."
9,/certificate,JIVO Energy Certifications | ISO & Quality Standards,"View JIVO Energy's certifications covering quality, environmental management, greenhouse gases, information security, sustainable procurement and safety."
10,/esg,ESG & Sustainability | JIVO Energy Africa,"Learn about JIVO Energy's ESG approach covering quality, health and safety, environmental responsibility, resource efficiency, emissions reduction and communities."
11,/team,JIVO Energy Team | Renewable Energy Experts,"Meet the JIVO Energy team driving renewable energy development, engineering, project execution and sustainable infrastructure across Africa."
12,/media,JIVO Energy Newsroom | Renewable Energy News Africa,"Read the latest JIVO Energy news, project updates and media coverage across solar power, battery storage and renewable energy in Africa."
13,/careers,Careers at JIVO Energy | Renewable Energy Jobs Africa,"Explore career opportunities at JIVO Energy and join a growing renewable energy company delivering solar, BESS, hybrid and sustainable infrastructure projects."
14,/contact,Contact JIVO Energy | Renewable Energy Projects Africa,"Contact JIVO Energy to discuss renewable energy projects, Solar PV, battery storage, hybrid systems, transmission and sustainable energy infrastructure."
15,/privacy-policy,Privacy Policy | JIVO Energy,"Read JIVO Energy's privacy policy to understand how personal information is collected, used, protected and processed through our website and services."
16,/terms-of-service,Terms of Service | JIVO Energy,"Review JIVO Energy's terms of service covering website access, content, enquiries, services and your responsibilities when using the JIVO Energy website."
17,/business-areas/solar-pv,Solar PV Solutions & EPC Services | JIVO Energy,"JIVO Energy provides Solar PV solutions, solar farm development, EPC, grid integration, commissioning, O&M and performance optimization across Africa."
18,/business-areas/bess,Battery Energy Storage Systems (BESS) | JIVO Energy,"JIVO Energy provides BESS solutions for grid stability, backup power, peak shaving, load shifting, renewable integration and energy reliability across Africa."
19,/business-areas/transmission-distribution,Transmission & Distribution Solutions | JIVO Energy,"JIVO Energy delivers transmission and distribution infrastructure, substations, grid interconnection, power evacuation and electrical network solutions across Africa."
20,/business-areas/hybrid-energy,Hybrid Energy Systems & Solutions | JIVO Energy,"JIVO Energy designs hybrid energy systems combining Solar PV, BESS, grid and DG to deliver reliable, efficient and sustainable power across Africa."
21,/business-areas/biogas-biomethane,Biogas & Biomethane Solutions | JIVO Energy,"JIVO Energy develops biogas and biomethane solutions that convert organic waste into renewable energy, green fuel and sustainable power for industries."
22,/business-areas/waste-management,Waste Management & Waste-to-Energy | JIVO Energy,"JIVO Energy develops waste management and waste-to-energy solutions that convert municipal, industrial and organic waste into renewable power and resources."
23,/projects/uganda-kabulasoke-solar-plant,"23 MWp Kabulasoke Solar Plant, Uganda | JIVO Energy","Discover JIVO Energy's 23 MWp Kabulasoke Solar Plant in Uganda, delivering renewable solar power and supporting clean energy generation and energy access."
24,/projects/uganda-nkonge-solar-plant,"23 MWp Nkonge Solar Plant, Uganda | JIVO Energy","Explore JIVO Energy's 23 MWp Nkonge Solar Plant in Uganda, supporting renewable electricity generation, sustainable power and improved energy access."
25,/projects/ethiopia-7-mini-grids,"2 MWp + 8 MWh 7 Mini-Grids, Ethiopia | JIVO Energy","Explore JIVO Energy's 2 MWp solar and 8 MWh storage across seven mini-grids in Ethiopia, supporting reliable renewable power and energy access."
26,/projects/kenya-kakuma-refugee-camp-hybrid-project,"350 kWp/1.2 MWh Kakuma Hybrid Project, Kenya","Discover JIVO Energy's 350 kWp solar PV and 1.2 MWh storage hybrid project in Kakuma, Kenya, supporting reliable and sustainable energy access."
27,/projects/kenya-chepkumia-county-solar-plant,"260 kWp Chepkumia Solar Plant, Kenya | JIVO Energy","Explore JIVO Energy's 260 kWp Chepkumia County Solar Plant in Kenya, providing renewable solar power and supporting sustainable energy infrastructure."
28,/projects/kenya-kakuma-biashara-hybrid-project,"60 kWp/250 kWh Kakuma Biashara BESS, Kenya","Discover JIVO Energy's 60 kWp solar PV system with 250 kWh BESS in Kakuma Biashara, Kenya, delivering reliable renewable energy and storage."
29,/projects/kenya-embu-county-solar-plant,"20 kWp Rooftop Solar Plant, Embu County | JIVO","Explore JIVO Energy's 20 kWp rooftop solar project in Embu County, Kenya, generating clean renewable power and supporting sustainable energy use."
30,/projects/machakos-county,"240 kWp Machakos Solar Energy Project, Kenya","Discover JIVO Energy's 240 kWp Machakos County solar energy project in Kenya, supporting clean electricity generation and reliable renewable power."
31,/projects/liberia-39-health-facilities,"200 kWp + 1 MWh Solar PV & BESS, Liberia",Explore JIVO Energy's 200 kWp Solar PV and 1 MWh BESS project supporting 39 health facilities in Liberia with reliable clean energy.
32,/projects/sao-tome-and-principe-santo-amaro-solar-plant,"1.2 MWp Santo Amaro Solar Plant, São Tomé","Discover JIVO Energy's 1.2 MWp Santo Amaro Solar Plant in São Tomé and Príncipe, supporting clean electricity generation and renewable energy access."
33,/projects/sierra-leone-hybrid-project,954.8 kWp Sierra Leone Hybrid Energy Project,"Explore JIVO Energy's 954.8 kWp hybrid energy project in Sierra Leone, supporting reliable renewable power and sustainable electricity access."
34,/projects/senegal-solar-project,650 kWp Solar Energy Project in Senegal | JIVO,"Discover JIVO Energy's 650 kWp solar energy project in Senegal, supporting renewable electricity generation and sustainable energy development."
35,/projects/cape-verde-32-public-health-centres,"560.8 kWp Solar Project, Cape Verde | JIVO Energy",Explore JIVO Energy's 560.8 kWp renewable energy project supporting 32 public health centres in Cape Verde with reliable clean electricity.
36,/projects/burkina-faso-solar-plant,2 MWp Burkina Faso Solar Plant | JIVO Energy,"Discover JIVO Energy's 2 MWp solar plant in Burkina Faso, supporting renewable electricity generation, clean power and sustainable energy infrastructure."
37,/projects/malawi-lilongwe-bess-project,"20 MW/40 MWh Lilongwe BESS Project, Malawi","Explore JIVO Energy's 20 MW/40 MWh Lilongwe BESS project in Malawi, supporting grid stability, renewable integration and reliable electricity supply."
38,/projects/zimbabwe-solar-plant,3.5 MWp Zimbabwe Solar Plant | JIVO Energy,"Discover JIVO Energy's 3.5 MWp solar plant in Zimbabwe, supporting clean electricity generation and the country's transition to renewable energy."
39,/projects/malawi-mzuzu-hybrid-project,"2 MWp + 5 MWh Mzuzu Hybrid Project, Malawi","Explore JIVO Energy's 2 MWp solar PV and 5 MWh storage Mzuzu Hybrid Energy Project in Malawi, delivering reliable and sustainable renewable power."
